House ID,Price
501,0.1053366
502,0.10880133
503,0.10158676
504,0.09980052
505,0.10698178
506,0.11311332
507,0.09830537
508,0.102719136
509,0.09428127
510,0.098508485
511,0.09591326
512,0.11499672
513,0.09457629
514,0.097224355
515,0.115053736
516,0.11102625
517,0.109422855
518,0.11319169
519,0.100858204
520,0.1091794
521,0.10519535
522,0.10286861
523,0.10710118
524,0.11362247
525,0.10728239
526,0.09966596
527,0.10004572
528,0.09258873
529,0.105884224
530,0.102718525
531,0.10190144
532,0.101976596
533,0.10387347
534,0.10198281
535,0.09811199
